"","germplasmDbId","studyName","studyDescription","studyYear","studyDesign","locationName","germplasmName","Heading.time...Julian.date..JD..","rank","Plant.height.inches","rank"
"10","240787","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","OH16-168-48",133.29,16,30.57,8
"56","282818","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","MI18R0236",133.48,18,33.44,60
"105","96756","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","IL16-23972",133.85,26,32.26,38
"16","280823","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","KWS361",136.97,100,38.23,141
"39","281193","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","TWR 09014",136.25,66,35.23,107
"105.1","96756","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","IL16-23972",133.85,26,32.26,38
"86","283366","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2137",137.86,128,46.74,150
"72","283352","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2123",135.31,42,34.81,91
"51","282729","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","X12-3014-46-8-5",136.93,98,34.48,87
"99","84968","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","IL07-19334",137.02,105,36.73,133
"18","280854","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","OH17-124-70",136.68,83,35.77,118
"19","280855","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","OH17-171-57",134.04,29,40.48,149
"46","282724","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","MI18W1044",136.88,97,31.94,35
"104","96752","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","IL16-23941",131.11,2,34.35,81
"42","281857","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","20PU-0007",136.49,74,34.92,95
"94","84723","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","MO080104",135.79,47,36.37,127
"66","283346","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2116",137.45,119,30.73,12
"24","280867","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","X12-3114-65-7-1",135.96,57,33.3,58
"6","100989","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","US16-IL-061-132",130.87,1,33.52,63
"17","280853","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","OH16-184-77",137.17,114,30.46,5
"29","281183","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","AR11051-15-3",137.93,131,38.46,142
"36","281190","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","MI18R1605",133.7,24,33.07,53
"79","283359","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2130",136.11,64,30.44,4
"47","282725","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2105",139.68,146,35.01,97
"22","280858","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","OH17-93-33",137.1,111,34.02,71
"101","85178","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","Hilliard",135.94,55,36.23,125
"27","281181","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","20-UMD-18",136.98,101,31.54,28
"110","98931","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","KY07C-1145-94-12-5",135.88,51,34.84,92
"28","281182","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","20-UMD-20",136.08,63,31.55,30
"82","283362","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2133",139,140,36.17,124
"53","282815","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","20PU-0053",138.93,138,35.21,104
"13","280814","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","DH15SRW65-53",137.04,108,29.92,1
"15","280818","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","KWS341",137.35,116,33.01,50
"57","282819","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","MI18R1322",133.86,28,33.01,50
"32","281186","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","ARS16W0574",134.62,36,38.59,143
"71","283351","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2122",131.56,4,31.37,21
"107","96920","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","IL16-36752",134.26,34,34.23,76
"45","282723","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","MI18W0286",136.32,68,31.89,33
"62","282824","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","X12-3048-52-17-5",136.52,75,33.62,64
"31","281185","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","ARDH14002-22-0260N",136.76,88,37.15,138
"14","280817","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","KWS340",137.12,112,35.09,100
"99.1","84968","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","IL07-19334",137.02,105,36.73,133
"12","280803","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","05251A1-1-136-9-9",139.98,150,31.71,31
"37","281191","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","NS16VW516463",135.8,49,32.54,42
"77","283357","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2128",137.73,124,32.74,44
"33","281187","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","LES19-0387",139.41,144,34.27,77
"96","84789","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","Kaskaskia",136.69,85,39.47,145
"85","283365","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2136",138.52,134,35.31,109
"108","97095","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","IL17-17739",136.55,77,39.71,148
"43","282721","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","MI18W0144",136.05,60,35.22,105
"30","281184","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","ARDH13216-12",134.05,30,35.14,102
"34","281188","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","LES19-7191",137.63,122,31.39,22
"48","282726","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2106",139.1,141,36.11,122
"59","282821","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","MI18R1687",136.83,94,31.06,16
"90","283370","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2141",137.74,125,38.98,144
"106","96907","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","IL16-36206",132.45,6,34.11,72
