studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,FHB.incidence.....,FHB.severity.....,Grain.test.weight...lbs.bu,Grain.yield...bu.ac,Heading.time...Julian.date..JD..,Plant.height.inches
2021,326,University of Illinois,Wheat breeding program at the University of Illinois,1273,CC_Urb_21,"Combined Cooperative Trial at Urbana, IL [2021]",p-rep,,,,,,2020-September-30,,26,"Urbana, IL",240787,OH16-168-48,,plot,283391,CC_Urb_21-101,1,1,101,1,1,test,,,,,,133,32.00001728
2021,326,University of Illinois,Wheat breeding program at the University of Illinois,1273,CC_Urb_21,"Combined Cooperative Trial at Urbana, IL [2021]",p-rep,,,,,,2020-September-30,,26,"Urbana, IL",282818,MI18R0236,,plot,283440,CC_Urb_21-102,1,1,102,2,1,test,,,,,,133,34.00001836
2021,326,University of Illinois,Wheat breeding program at the University of Illinois,1273,CC_Urb_21,"Combined Cooperative Trial at Urbana, IL [2021]",p-rep,,,,,,2020-September-30,,26,"Urbana, IL",96756,IL16-23972,IL16-23972,plot,283419,CC_Urb_21-103,1,1,103,3,1,test,,,,,,133,36.00001944
2021,326,University of Illinois,Wheat breeding program at the University of Illinois,1273,CC_Urb_21,"Combined Cooperative Trial at Urbana, IL [2021]",p-rep,,,,,,2020-September-30,,26,"Urbana, IL",280823,KWS361,,plot,283458,CC_Urb_21-104,1,1,104,4,1,test,,,,,,137,38.00002052
2021,326,University of Illinois,Wheat breeding program at the University of Illinois,1273,CC_Urb_21,"Combined Cooperative Trial at Urbana, IL [2021]",p-rep,,,,,,2020-September-30,,26,"Urbana, IL",281193,TWR 09014,,plot,283625,CC_Urb_21-105,1,1,105,5,1,test,,,,,,137,36.00001944
2021,326,University of Illinois,Wheat breeding program at the University of Illinois,1273,CC_Urb_21,"Combined Cooperative Trial at Urbana, IL [2021]",p-rep,,,,,,2020-September-30,,26,"Urbana, IL",96756,IL16-23972,IL16-23972,plot,283494,CC_Urb_21-106,1,1,106,6,1,test,,,,,,134,36.00001944
2021,326,University of Illinois,Wheat breeding program at the University of Illinois,1273,CC_Urb_21,"Combined Cooperative Trial at Urbana, IL [2021]",p-rep,,,,,,2020-September-30,,26,"Urbana, IL",283366,P2137,,plot,283409,CC_Urb_21-107,1,1,107,7,1,test,,,,,,138,46.00002484
2021,326,University of Illinois,Wheat breeding program at the University of Illinois,1273,CC_Urb_21,"Combined Cooperative Trial at Urbana, IL [2021]",p-rep,,,,,,2020-September-30,,26,"Urbana, IL",283352,P2123,,plot,283505,CC_Urb_21-108,1,1,108,8,1,test,,,,,,134,36.00001944
2021,326,University of Illinois,Wheat breeding program at the University of Illinois,1273,CC_Urb_21,"Combined Cooperative Trial at Urbana, IL [2021]",p-rep,,,,,,2020-September-30,,26,"Urbana, IL",282729,X12-3014-46-8-5,,plot,283420,CC_Urb_21-109,1,1,109,9,1,test,,,,,,137,36.00001944
2021,326,University of Illinois,Wheat breeding program at the University of Illinois,1273,CC_Urb_21,"Combined Cooperative Trial at Urbana, IL [2021]",p-rep,,,,,,2020-September-30,,26,"Urbana, IL",84968,IL07-19334,IL07-19334,plot,283561,CC_Urb_21-110,1,1,110,10,1,test,,,,,,137,38.00002052
2021,326,University of Illinois,Wheat breeding program at the University of Illinois,1273,CC_Urb_21,"Combined Cooperative Trial at Urbana, IL [2021]",p-rep,,,,,,2020-September-30,,26,"Urbana, IL",280854,OH17-124-70,,plot,283640,CC_Urb_21-111,1,1,111,10,2,test,,,,,,136,38.00002052
2021,326,University of Illinois,Wheat breeding program at the University of Illinois,1273,CC_Urb_21,"Combined Cooperative Trial at Urbana, IL [2021]",p-rep,,,,,,2020-September-30,,26,"Urbana, IL",280855,OH17-171-57,,plot,283566,CC_Urb_21-112,1,1,112,9,2,test,,,,,,134,42.00002268
2021,326,University of Illinois,Wheat breeding program at the University of Illinois,1273,CC_Urb_21,"Combined Cooperative Trial at Urbana, IL [2021]",p-rep,,,,,,2020-September-30,,26,"Urbana, IL",282724,MI18W1044,,plot,283429,CC_Urb_21-113,1,1,113,8,2,test,,,,,,137,34.00001836
2021,326,University of Illinois,Wheat breeding program at the University of Illinois,1273,CC_Urb_21,"Combined Cooperative Trial at Urbana, IL [2021]",p-rep,,,,,,2020-September-30,,26,"Urbana, IL",96752,IL16-23941,IL16-23941,plot,283547,CC_Urb_21-114,1,1,114,7,2,test,,,,,,130,36.00001944
2021,326,University of Illinois,Wheat breeding program at the University of Illinois,1273,CC_Urb_21,"Combined Cooperative Trial at Urbana, IL [2021]",p-rep,,,,,,2020-September-30,,26,"Urbana, IL",281857,20PU-0007,,plot,283624,CC_Urb_21-115,1,1,115,6,2,test,,,,,,137,38.00002052
2021,326,University of Illinois,Wheat breeding program at the University of Illinois,1273,CC_Urb_21,"Combined Cooperative Trial at Urbana, IL [2021]",p-rep,,,,,,2020-September-30,,26,"Urbana, IL",84723,MO080104,,plot,283383,CC_Urb_21-116,1,1,116,5,2,test,,,,,,136,36.00001944
