"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","plantedSeedlotStockDbId","plantedSeedlotStockUniquename","plantedSeedlotCurrentCount","plantedSeedlotCurrentWeightGram","plantedSeedlotBoxName","plantedSeedlotTransactionCount","plantedSeedlotTransactionWeight","plantedSeedlotTransactionDescription","availableGermplasmSeedlotUniquenames","Heading time - Julian date (JD)|CO_321:0001233","Plant height - cm|CO_321:0001301","notes"
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1323","DH2_Urb_21","DH Augmented Yield Trial 2 at Urbana, IL [2021]","Augmented","","","","","","2020-October-05","","26","Urbana, IL","84789","Kaskaskia","","plot","298013","DH2_Urb_21-plot101","1","1","101","1","1","check","","","","","","","","","","","138","106.68"," (Operator: jrutkoski, Time: )"
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1323","DH2_Urb_21","DH Augmented Yield Trial 2 at Urbana, IL [2021]","Augmented","","","","","","2020-October-05","","26","Urbana, IL","292163","IL16LCSDH-01-T-863-1","","plot","297977","DH2_Urb_21-plot102","1","1","102","2","1","test","","","","","","","","","","","137","91.44","mixture:Mixed exclude_plot:true (Operator: jrutkoski, Time: )"
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1323","DH2_Urb_21","DH Augmented Yield Trial 2 at Urbana, IL [2021]","Augmented","","","","","","2020-October-05","","26","Urbana, IL","292125","IL16LCSDH-01-T-863-4","","plot","298034","DH2_Urb_21-plot103","1","1","103","3","1","test","","","","","","","","","","","137","91.44","mixture:Mixed exclude_plot:true (Operator: jrutkoski, Time: )"
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1323","DH2_Urb_21","DH Augmented Yield Trial 2 at Urbana, IL [2021]","Augmented","","","","","","2020-October-05","","26","Urbana, IL","292301","IL16LCSDH-01-T-863-5","","plot","297950","DH2_Urb_21-plot104","1","1","104","4","1","test","","","","","","","","","","","133","86.36"," (Operator: jrutkoski, Time: )"
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1323","DH2_Urb_21","DH Augmented Yield Trial 2 at Urbana, IL [2021]","Augmented","","","","","","2020-October-05","","26","Urbana, IL","292118","IL16LCSDH-01-T-863-6","","plot","298064","DH2_Urb_21-plot105","1","1","105","5","1","test","","","","","","","","","","","135","91.44"," (Operator: jrutkoski, Time: )"
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1323","DH2_Urb_21","DH Augmented Yield Trial 2 at Urbana, IL [2021]","Augmented","","","","","","2020-October-05","","26","Urbana, IL","292100","IL16LCSDH-01-T-863-8","","plot","297967","DH2_Urb_21-plot106","1","1","106","6","1","test","","","","","","","","","","","140","106.68"," (Operator: jrutkoski, Time: )"
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1323","DH2_Urb_21","DH Augmented Yield Trial 2 at Urbana, IL [2021]","Augmented","","","","","","2020-October-05","","26","Urbana, IL","292132","IL16LCSDH-01-T-863-10","","plot","298032","DH2_Urb_21-plot107","1","1","107","7","1","test","","","","","","","","","","","137","101.6"," (Operator: jrutkoski, Time: )"
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1323","DH2_Urb_21","DH Augmented Yield Trial 2 at Urbana, IL [2021]","Augmented","","","","","","2020-October-05","","26","Urbana, IL","292252","IL16LCSDH-01-T-863-12","","plot","298040","DH2_Urb_21-plot108","1","1","108","8","1","test","","","","","","","","","","","137","111.76"," (Operator: jrutkoski, Time: )"
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1323","DH2_Urb_21","DH Augmented Yield Trial 2 at Urbana, IL [2021]","Augmented","","","","","","2020-October-05","","26","Urbana, IL","292335","IL16LCSDH-01-T-863-15","","plot","298058","DH2_Urb_21-plot109","1","1","109","9","1","test","","","","","","","","","","","133","106.68"," (Operator: jrutkoski, Time: )"
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1323","DH2_Urb_21","DH Augmented Yield Trial 2 at Urbana, IL [2021]","Augmented","","","","","","2020-October-05","","26","Urbana, IL","292321","IL16LCSDH-01-T-863-16","","plot","298018","DH2_Urb_21-plot110","1","1","110","10","1","test","","","","","","","","","","","138","96.52"," (Operator: jrutkoski, Time: )"
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1323","DH2_Urb_21","DH Augmented Yield Trial 2 at Urbana, IL [2021]","Augmented","","","","","","2020-October-05","","26","Urbana, IL","292501","IL16LCSDH-01-T-863-18","","plot","297966","DH2_Urb_21-plot111","1","1","111","10","2","test","","","","","","","","","","","137","101.6"," (Operator: jrutkoski, Time: )"
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1323","DH2_Urb_21","DH Augmented Yield Trial 2 at Urbana, IL [2021]","Augmented","","","","","","2020-October-05","","26","Urbana, IL","292436","IL16LCSDH-01-T-863-20","","plot","297959","DH2_Urb_21-plot112","1","1","112","9","2","test","","","","","","","","","","","136","106.68"," (Operator: jrutkoski, Time: )"
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1323","DH2_Urb_21","DH Augmented Yield Trial 2 at Urbana, IL [2021]","Augmented","","","","","","2020-October-05","","26","Urbana, IL","292453","IL16LCSDH-01-T-863-22","","plot","298002","DH2_Urb_21-plot113","1","1","113","8","2","test","","","","","","","","","","","137","101.6"," (Operator: jrutkoski, Time: )"
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1323","DH2_Urb_21","DH Augmented Yield Trial 2 at Urbana, IL [2021]","Augmented","","","","","","2020-October-05","","26","Urbana, IL","292315","IL16LCSDH-01-T-863-26","","plot","298038","DH2_Urb_21-plot114","1","1","114","7","2","test","","","","","","","","","","","136","111.76"," (Operator: jrutkoski, Time: )"
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1323","DH2_Urb_21","DH Augmented Yield Trial 2 at Urbana, IL [2021]","Augmented","","","","","","2020-October-05","","26","Urbana, IL","292117","IL16LCSDH-01-T-863-30","","plot","298022","DH2_Urb_21-plot115","1","1","115","6","2","test","","","","","","","","","","","137","106.68"," (Operator: jrutkoski, Time: )"
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1323","DH2_Urb_21","DH Augmented Yield Trial 2 at Urbana, IL [2021]","Augmented","","","","","","2020-October-05","","26","Urbana, IL","292156","IL16LCSDH-01-T-863-32","","plot","298067","DH2_Urb_21-plot116","1","1","116","5","2","test","","","","","","","","","","","137","86.36"," (Operator: jrutkoski, Time: )"
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1323","DH2_Urb_21","DH Augmented Yield Trial 2 at Urbana, IL [2021]","Augmented","","","","","","2020-October-05","","26","Urbana, IL","292201","IL16LCSDH-01-T-863-33","","plot","298015","DH2_Urb_21-plot117","1","1","117","4","2","test","","","","","","","","","","","136","96.52"," (Operator: jrutkoski, Time: )"
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1323","DH2_Urb_21","DH Augmented Yield Trial 2 at Urbana, IL [2021]","Augmented","","","","","","2020-October-05","","26","Urbana, IL","84801","07-4415","","plot","297944","DH2_Urb_21-plot118","1","1","118","3","2","check","","","","","","","","","","","133","106.68","mixture:Mixed exclude_plot:true (Operator: jrutkoski, Time: )"
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1323","DH2_Urb_21","DH Augmented Yield Trial 2 at Urbana, IL [2021]","Augmented","","","","","","2020-October-05","","26","Urbana, IL","292288","IL16LCSDH-01-T-863-34","","plot","297973","DH2_Urb_21-plot119","1","1","119","2","2","test","","","","","","","","","","","136","91.44"," (Operator: jrutkoski, Time: )"
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1323","DH2_Urb_21","DH Augmented Yield Trial 2 at Urbana, IL [2021]","Augmented","","","","","","2020-October-05","","26","Urbana, IL","292204","IL16LCSDH-01-T-863-35","","plot","297981","DH2_Urb_21-plot120","1","1","120","1","2","test","","","","","","","","","","","139","101.6"," (Operator: jrutkoski, Time: )"
