"","observationUnitName","germplasmDbId","variable","value","resids"
"281","A5S_Neo_17-plot406","84762","Plant.height.inches",33.00001782,-3.02352672044921
"400","A5S_Neo_17-plot425","84851","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",9,3.48494130504626
"473","A5S_Urb_17-plot323","84736","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",7,3.05274403441143
"118","A6S_Urb_19-plot128","99372","Grain.yield...bu.ac",69.2,-3.14996697605384
"1","Adv_Brt_15-plot1001","84789","Grain.test.weight...lbs.bu",46.2,-3.35966434359595
"101","Adv_Brt_15-plot1101","95745","Grain.test.weight...lbs.bu",55.3,3.29749699179057
"469","Adv_Brt_15-plot1109","95781","Grain.yield...bu.ac",48.5,-3.60270651542356
"947","Adv_Brt_15-plot2107","94779","Plant.height.inches",36.00001944,3.08537631962372
"1048","Adv_Brt_15-plot3088","94779","Plant.height.inches",26.00001404,-3.97049925221373
"366","Adv_Car_16-plot1006","85081","Grain.yield...bu.ac",31.1,-3.33078800670964
"7","Adv_Car_19-plot1007","84968","Grain.test.weight...lbs.bu",53,-3.46890893715998
"471","Adv_Car_19-plot1111","96878","Grain.yield...bu.ac",43.8,-3.49887488856595
"173","Adv_Car_19-plot2053","96808","Grain.test.weight...lbs.bu",57.5,4.09564703165735
"347","Adv_Car_19-plot3107","96808","Grain.test.weight...lbs.bu",52.6,-4.09564703165734
"707","Adv_Car_19-plot3107","96808","Grain.yield...bu.ac",82.4,3.11130335470161
"1191","Adv_Neo_17-plot1111","84922","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",9,3.60734807998527
"202","Adv_Neo_17-plot2082","84915","Grain.test.weight...lbs.bu",49.3,-3.8786510084798
"315","Adv_Neo_17-plot3075","84915","Grain.test.weight...lbs.bu",55,3.87865100847979
"1429","Adv_Neo_17-plot3109","84982","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",3,-3.3961924103204
"749","Adv_Neo_18-plot1029","85052","Plant.height.inches",36.00001944,3.35521112033792
"72","Adv_Neo_18-plot1072","84825","Grain.test.weight...lbs.bu",49.3,-5.55352031830181
"433","Adv_Neo_18-plot1073","84732","Grain.yield...bu.ac",45.2,-3.32045087578894
"129","Adv_Neo_18-plot2009","84825","Grain.test.weight...lbs.bu",57.4,3.05085792097808
"175","Adv_Neo_18-plot2055","84789","Grain.test.weight...lbs.bu",55.9,3.39864374315326
"9","Adv_Rid_17-plot1009","84759","Grain.test.weight...lbs.bu",61,3.55986362989065
"45","Adv_Rid_18-plot1045","85129","Grain.test.weight...lbs.bu",47.1,-3.12018664043921
"105","Adv_Rid_18-plot1105","85219","Grain.test.weight...lbs.bu",47.4,-3.61911708242754
"905","Adv_Rid_18-plot2065","85219","Lodging.incidence...0.9.percentage.scale.",6,3.29578560790154
"389","Adv_Scb_16-plot1029","93487","FHB.grain.incidence.....",80,3.42610838887887
"513","Adv_Scb_16-plot2033","96033","FHB.grain.incidence.....",80,3.6555690626558
"518","Adv_Scb_16-plot2038","84968","FHB.grain.incidence.....",90,3.34664769253201
"1465","Adv_Scb_19-plot1013","85012","Heading.time...Julian.date..JD..",145,3.02529126029277
"1420","Adv_Scb_19-plot3089","84900","FHB.severity.....",80,3.00762577014413
"2562","Adv_Scb_20-plot3098","97185","Grain.test.weight...lbs.bu",53.76017894312,-3.25569010316983
"3136","Adv_Scb_20-plot3144","97301","Heading.time...Julian.date..JD..",135,3.13763885269964
"355","Adv_Stj_15-plot3115","84817","Grain.test.weight...lbs.bu",60.8,4.4471958061884
"65","Adv_Stj_16-plot1065","96246","Grain.test.weight...lbs.bu",52.9,-3.4487835891333
"626","Adv_Stj_16-plot3026","96272","Grain.yield...bu.ac",31.1,-3.97664425943863
"470","Adv_Stj_17-plot1110","84693","Grain.yield...bu.ac",32.5,-3.38569029719294
"11","Adv_Stj_19-plot1001","84789","Grain.test.weight...lbs.bu",54.7,-3.30457831950233
"10","Adv_Urb_15-plot1010","93607","Grain.test.weight...lbs.bu",51.5,-4.84517550173466
"4001","Adv_Urb_15-plot1040","95377","Grain.yield...bu.ac",74,-3.17147051567531
"1801","Adv_Urb_16-plot1001","84789","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",3,-3.23730808180549
"6","Adv_Urb_16-plot1006","85081","Grain.test.weight...lbs.bu",52.5,-4.35140011065479
"1282","Adv_Urb_16-plot2082","85102","Lodging.incidence...0.9.percentage.scale.",9,3.05292162743561
"940","Adv_Urb_16-plot2100","85126","Heading.time...Julian.date..JD..",126,-3.23371098339119
"945","Adv_Urb_16-plot2105","96209","Heading.time...Julian.date..JD..",125,-3.21565462917204
"591","Adv_Urb_16-plot2111","96247","Grain.yield...bu.ac",98.3999999999999,-3.03325933658681
"238","Adv_Urb_16-plot2118","84900","Grain.test.weight...lbs.bu",57.7999999999999,3.36182138409169
"1358","Adv_Urb_16-plot3038","95810","Lodging.incidence...0.9.percentage.scale.",8,3.4559986142644
"1359","Adv_Urb_16-plot3039","93487","Lodging.incidence...0.9.percentage.scale.",8,3.23857608481341
"317","Adv_Urb_16-plot3077","96076","Grain.test.weight...lbs.bu",51.5,-3.38004526244063
"2149","Adv_Urb_16-plot3109","93607","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",7,3.18806725866917
"108","Adv_Urb_17-plot1108","85212","Heading.time...Julian.date..JD..",121,3.72167051810944
"161","Adv_Urb_17-plot2041","84915","Heading.time...Julian.date..JD..",121,3.68006177939777
"257","Adv_Urb_17-plot3017","85154","Heading.time...Julian.date..JD..",123,3.13914817614457
"4","Adv_Urb_18-plot1004","85257","Grain.test.weight...lbs.bu",50.7,-4.30362599785325
"218","Adv_Urb_18-plot2098","85166","Grain.test.weight...lbs.bu",52.2,-3.67203813870559
"496","Adv_Urb_19-plot2016","96743","Grain.yield...bu.ac",41.5,-3.09227785045144
"1216","Adv_Urb_19-plot2016","96743","Plant.height.inches",38.00002052,3.16306237766096
"260","Adv_Urb_19-plot3020","96644","Grain.test.weight...lbs.bu",57.3999999999999,3.51546920670817
"697","Adv_Urb_19-plot3097","96743","Grain.yield...bu.ac",49.5,3.09227785045144
"1417","Adv_Urb_19-plot3097","96743","Plant.height.inches",29.00001566,-3.16306237766096
"351","Adv_Urb_20-plot101","96941","Grain.test.weight...lbs.bu",52.238265435468,-3.20203995372846
"408","Adv_Urb_20-plot158","96869","Grain.test.weight...lbs.bu",55.8172028521186,3.0695317686532
