"","observationUnitName","germplasmDbId","variable","value","resids"
"22","Pr_Urb_21-plot122","239535","Grain.test.weight...lbs.bu",51.5996723298134,-4.40577699380518
"1169","Prelim_Scab_2021-rep1-19-18938_1215","239657","FHB.severity.....",10,3.58273145552513
"1033","Prelim_Scab_2021-rep1-19-24106_1079","239925","FHB.severity.....",14,3.56262648900907
"1221","Prelim_Scab_2021-rep1-19-6308_1267","240280","FHB.severity.....",40,-3.23005191093613
"600","Prelim_Scab_2021-rep2-19-13048_1600","239352","FHB.incidence.....",25,3.32917387932992
"1313","Prelim_Scab_2021-rep2-19-15209_1359","239494","FHB.severity.....",16,3.2655699751144
"514","Prelim_Scab_2021-rep2-19-21846_1514","239799","FHB.incidence.....",15,3.35504162207016
"414","Prelim_Scab_2021-rep2-19-4176_1414","240222","FHB.incidence.....",10,4.31119082347192
"2240","Prelim_Scab_2021-rep2-19-8928_1332","240376","Heading.time...Julian.date..JD..",137,3.36290868495112
"846","Prelim_Scab_2021-rep3-19-16139_1846","239539","FHB.incidence.....",1,-3.52553092159042
"1897","Prelim_Scab_2021-rep3-19-UG-99-5_1943","240402","FHB.severity.....",7,3.32251317946839
"562","ADV_Scb_21-rep1-17-8824_1034","97307","FHB.severity.....",7,4.74499510189597
"38","ADV_Scb_21-rep1-18-11122_1038","240463","FHB.incidence.....",30,5.06406525190512
"110","ADV_Scb_21-rep1-18-16837_1110","240551","FHB.incidence.....",3,3.14688284700278
"124","ADV_Scb_21-rep1-Pio 25R74_1124","100570","FHB.incidence.....",65,3.49636258768629
"534","ADV_Scb_21-rep1-US16-IL-061-132_1006","100989","FHB.severity.....",7,3.62379061409252
"244","ADV_Scb_21-rep2-17-29544_1244","97201","FHB.incidence.....",10,3.07008203049048
"772","ADV_Scb_21-rep2-17-29544_1244","97201","FHB.severity.....",7,3.36850985207594
"198","ADV_Scb_21-rep2-18-6852_1198","240634","FHB.incidence.....",10,3.20192779818339
"784","ADV_Scb_21-rep2-US16-IL-062-031_1256","101069","FHB.severity.....",10,3.20410115128069
"934","ADV_Scb_21-rep3-18-13965_1406","240503","FHB.severity.....",7,3.31776896197713
"520","ADV_Scb_21-rep3-18-17108_1520","240553","FHB.incidence.....",5,-3.93932922579047
"968","ADV_Scb_21-rep3-US16-IL-061-068_1440","240805","FHB.severity.....",7,3.21321685360924
"385","PNU_Scab_2021-rep3-MI20R0162_209","280842","Heading.time...Julian.date..JD..",133,3.66301472137554
"468","NU_Scb_21-rep3-10535A1-15-6_226","280808","Heading.time...Julian.date..JD..",140,-3.96552820007119
"338","NU_Scb_21-rep3-KWS361_267","280823","FHB.severity.....",7,-4.21875511537291
"250","VT_Scab_21-rep1-DXW2013_101","283061","FHB.severity.....",7,-3.78692061170273
"453","VT_Scab_21-rep3-EXP 2026_304","292075","FHB.severity.....",66,3.95083400723809
"432","VT_Scab_21-rep3-FS 603_283","98398","FHB.severity.....",7,4.13855191261644
"687","VT_Scab_21-rep3-KF 920_289","283074","Heading.time...Julian.date..JD..",133,5.42281545616409
"191","Adv_Urb_21-plot351","240453","Grain.test.weight...lbs.bu",55.4996159467854,6.09558753806757
"241","Adv_Urb_21-plot431","240453","Grain.test.weight...lbs.bu",46.6998826102432,-6.09558753806747
"137","Adv_Stj_21-plot308","101003","Grain.test.weight...lbs.bu",53.8,-6.11657600484964
"4681","Adv_Stj_21-plot308","101003","Grain.yield...bu.ac",100.9150343,3.08552886386723
"234","Adv_Stj_21-plot437","101003","Grain.test.weight...lbs.bu",59.3,6.11657600484958
"565","Adv_Stj_21-plot437","101003","Grain.yield...bu.ac",84.45424068,-3.08552886386724
"47","Adv_Neo_21-plot147","240631","Grain.test.weight...lbs.bu",56.9,3.22392756324169
"340","Adv_Neo_21-plot560","240631","Grain.test.weight...lbs.bu",56.1,-3.22392756324199
