"","name","studyName","germplasmDbId","trait","predicted.value","standard.error","upper.Confidence.limit","lower.Confidence.limit","est.status"
"1","P0175A1-37-4-1","PNU_Scb_21","100281","FHB.grain.incidence.....",29.0487146165815,6.68264926621174,42.1906486730422,15.9067805601208,"Estimable"
"2","P0175A1-37-4-1","PNU_Scb_21","100281","FHB.incidence.....",47.6286528577274,10.4068709128045,68.0945498129487,27.162755902506,"Estimable"
"3","P0175A1-37-4-1","PNU_Scb_21","100281","FHB.severity.....",8.62963966101667,6.00616356079534,20.4412135299884,-3.18193420795503,"Estimable"
"4","P0175A1-37-4-1","PNU_Scb_21","100281","Heading.time...Julian.date..JD..",139.007566642987,0.667071844724599,140.319413763054,137.695719522921,"Estimable"
"5","Pio 25R45","PNU_Scb_21","100558","FHB.grain.incidence.....",29.3524856412969,6.67939743037578,42.4880247172018,16.216946565392,"Estimable"
"6","Pio 25R45","PNU_Scb_21","100558","FHB.incidence.....",46.412552333611,10.3730077713957,66.8118548659306,26.0132498012914,"Estimable"
"7","Pio 25R45","PNU_Scb_21","100558","FHB.severity.....",30.4203407114876,5.93940842962572,42.1006355776547,18.7400458453206,"Estimable"
"8","Pio 25R45","PNU_Scb_21","100558","Heading.time...Julian.date..JD..",138.337344279556,0.662323506253963,139.639853433708,137.034835125403,"Estimable"
"9","US16-IL-061-029","PNU_Scb_21","100842","FHB.grain.incidence.....",0.592946917158948,6.68347760773041,13.736509969723,-12.5506161354051,"Estimable"
"10","US16-IL-061-029","PNU_Scb_21","100842","FHB.incidence.....",4.16235567711712,10.4069583736833,24.6284246307566,-16.3037132765223,"Estimable"
"11","US16-IL-061-029","PNU_Scb_21","100842","FHB.severity.....",5.67792796196942,6.00573372174547,17.4886565200138,-6.13280059607494,"Estimable"
"12","US16-IL-061-029","PNU_Scb_21","100842","Heading.time...Julian.date..JD..",135.955867726874,0.667080199723082,137.267731277675,134.644004176073,"Estimable"
"13","Truman","PNU_Scb_21","100869","FHB.grain.incidence.....",-0.230775404411172,6.68346020752876,12.9127534293433,-13.3743042381656,"Estimable"
"14","Truman","PNU_Scb_21","100869","FHB.incidence.....",8.09031715458084,10.372478189266,28.48857822368,-12.3079439145183,"Estimable"
"15","Truman","PNU_Scb_21","100869","FHB.severity.....",8.35533044780762,5.9347837735052,20.0265305787359,-3.31586968312067,"Estimable"
"16","Truman","PNU_Scb_21","100869","Heading.time...Julian.date..JD..",140.341929690791,0.662146852073216,141.644091441167,139.039767940415,"Estimable"
